Country,Region,Continent
Afghanistan,Central Asia,Asia
Albania,Southern Europe,Europe
Algeria,North Africa,Africa
American Samoa,Polynesia,Oceania
Andorra,Southern Europe,Europe
Angola,Central Africa,Africa
Anguilla,Caribbean,Americas
Antarctica,Antarctica,Oceania
Antigua and Barbuda,Caribbean,Americas
Argentina,South America,Americas
Armenia,Western Asia,Asia
Aruba,Caribbean,Americas
Australia,Oceania,Oceania
Austria,Western Europe,Europe
Azerbaijan,Western Asia,Asia
Bahamas,Caribbean,Americas
Bahrain,Western Asia,Asia
Bangladesh,Central Asia,Asia
Barbados,Caribbean,Americas
Belarus,Eastern Europe,Europe
Belgium,Western Europe,Europe
Belize,Central America,Americas
Benin,West Africa,Africa
Bermuda,North America,Americas
Bhutan,South Asia,Asia
Bolivia,South America,Americas
Bosnia and Herzegovina,Southern Europe,Europe
Botswana,Southern Africa,Africa
Brazil,South America,Americas
Brunei,South East Asia,Asia
Bulgaria,Eastern Europe,Europe
Burkina Faso,West Africa,Africa
Burundi,East Africa,Africa
Cambodia,South East Asia,Asia
Cameroon,Central Africa,Africa
Canada,North America,Americas
Cabo Verde,West Africa,Africa
Cayman Islands,Caribbean,Americas
Central African Republic,Central Africa,Africa
Chad,Central Africa,Africa
Chile,South America,Americas
China,Eastern Asia,Asia
Christmas Island,Oceania,Oceania
Cocos (Keeling) Islands,Oceania,Oceania
Colombia,South America,Americas
Comoros,East Africa,Africa
Congo (Brazzaville),Central Africa,Africa
Congo (Kinshasa),Central Africa,Africa
Cook Islands,Polynesia,Oceania
Costa Rica,Central America,Americas
Cote d'Ivoire,West Africa,Africa
Croatia,Southern Europe,Europe
Cuba,Caribbean,Americas
Cyprus,Western Asia,Asia
Czechia,Eastern Europe,Europe
Democratic Republic of the Congo (Kinshasa),Central Africa,Africa
Denmark,Northern Europe,Europe
Djibouti,East Africa,Africa
Dominica,Caribbean,Americas
Dominican Republic,Caribbean,Americas
Timor-Leste,South East Asia,Asia
Ecuador,South America,Americas
Egypt,Western Asia,Asia
El Salvador,Central America,Americas
